Index,Digi-Key Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,1939-1070-ND,GTM43007-B6030-FW(R),AC/DC CONVERTER 30V 60W,,1,0,$21.84000,$21.84
2,1528-1031-ND,1752,EVAL BOARD FOR MAX9744,,1,0,$28.74000,$28.74
3,2056-FR10HM-4OHM-ND,FR 10 HM - 4 OHM,SPEAKER 4OHM 20W TOP PORT 86DB,,2,0,$14.13000,$28.26
4,GC399-ND,33-1402,CONN BARRIER SPKR STRIP 2CIRCUIT,,2,0,$3.54000,$7.08
5,HS505RF-ND,HS50 5R F,RES CHAS MNT 5 OHM 1% 50W,,1,0,$5.86000,$5.86
6,1125-1191-ND,MT5470D-UY,LED YELLOW DIFFUSED 5MM OVAL T/H,,5,0,$0.77000,$3.85
7,C5SMF-RJE-CU14QBB2CT-ND,C5SMF-RJE-CU14QBB2,LED RED CLEAR 5MM OVAL T/H,,5,0,$0.29000,$1.45
8,C5SMF-GJE-CX14Q7T2CT-ND,C5SMF-GJE-CX14Q7T2,LED GREEN CLEAR 5MM OVAL T/H,,5,0,$0.46000,$2.30
9,1568-1600-ND,COM-10001,"KNOB KNURLED 0.236"" METAL",,1,0,$2.45000,$2.45
,,,,,,,Subtotal,$101.83
